"Judge, Aaron",50
"Kershaw, Clayton",285
"Blackmon, Charlie",211
"Strasburg, Stephen",247
"Votto, Joey",237
"Wood, Alex",124
"Bryant, Kris",244
"Ozuna, Marcell",141
"Andrus, Elvis",167
"Hand, Brad",174
"Knebel, Corey",134
"Rivero, Felipe",156
"Hill, Rich",204
"Shaw, Travis",136
"Miller, Andrew",209
"Gray, Sonny",209
"Segura, Jean",171
"Fulmer, Michael",50
"Chapman, Aroldis",221
"DeJong, Paul",50
"Happ, J.A.",194
"Sano, Miguel",235
"Betances, Dellin",199
"Santana, Carlos",178
"Lester, Jon",227
"Suzuki, Kurt",58
"Iannetta, Chris",62
"Mengden, Daniel",90
"Martes, Francis",50
"Glasnow, Tyler",113
"Harvey, Hunter",50
"Morejon, Adrian",50
